prediction_date,game_date,game_id,away_team,home_team,predicted_winner,predicted_probability,predicted_edge_label,recommendation_strength,recommendation_grade,win_pick_recommendation,handicap_recommendation,over_under_recommendation,daily_rank,daily_edge_percentile,is_daily_top_pick,is_daily_top_tier,actual_winner,actual_away_score,actual_home_score,win_pick_result,confidence_bucket,market_policy_result,production_model_name,note
2026-05-20,2026-05-20,20260520SKWO0,SSG,키움,SSG,0.528,SSG 박빙 우세,약우세,C등급,승패 약우세,핸디캡 관망,오버/언더 관망,5,0.6,False,False,키움,5,6,incorrect,52~55%,win_pick_evaluated;handicap_not_available;over_under_not_available,RandomForest 보수 시간가중 모델,Post-game audit only. Results are not used as pre-game features.
2026-05-21,2026-05-21,20260521LGHT0,LG,KIA,KIA,0.521,KIA 박빙 우세,약우세,C등급,승패 약우세,핸디캡 관망,오버/언더 관망,5,0.6,False,False,LG,5,3,incorrect,52~55%,win_pick_evaluated;handicap_not_available;over_under_not_available,RandomForest 보수 시간가중 모델,Post-game audit only. Results are not used as pre-game features.
2026-05-21,2026-05-21,20260521NCOB0,NC,두산,두산,0.576,두산 약우세,약우세,C등급,승패 약우세,핸디캡 관망,오버/언더 관망,1,1.0,True,True,두산,0,1,correct,55~58%,win_pick_evaluated;handicap_not_available;over_under_not_available,RandomForest 보수 시간가중 모델,Post-game audit only. Results are not used as pre-game features.
2026-05-21,2026-05-21,20260521KTSS0,KT,삼성,삼성,0.543,삼성 약우세,약우세,C등급,승패 약우세,핸디캡 관망,오버/언더 관망,3,0.8,False,True,삼성,5,8,correct,52~55%,win_pick_evaluated;handicap_not_available;over_under_not_available,RandomForest 보수 시간가중 모델,Post-game audit only. Results are not used as pre-game features.
2026-05-21,2026-05-21,20260521LTHH0,롯데,한화,한화,0.519,한화 박빙 우세,관망,D등급,승패 관망,핸디캡 관망,오버/언더 관망,7,0.4,False,False,롯데,8,2,incorrect,52% 미만,win_pick_evaluated;handicap_not_available;over_under_not_available,RandomForest 보수 시간가중 모델,Post-game audit only. Results are not used as pre-game features.
2026-05-21,2026-05-21,20260521SKWO0,SSG,키움,키움,0.501,키움 박빙 우세,관망,D등급,승패 관망,핸디캡 관망,오버/언더 관망,9,0.2,False,False,키움,0,6,correct,52% 미만,win_pick_evaluated;handicap_not_available;over_under_not_available,RandomForest 보수 시간가중 모델,Post-game audit only. Results are not used as pre-game features.
2026-05-22,2026-05-22,20260522WOLG0,키움,LG,LG,0.556,LG 약우세,약우세,C등급,승패 약우세,핸디캡 관망,오버/언더 관망,3,0.8,False,True,키움,7,0,incorrect,55~58%,win_pick_evaluated;handicap_not_available;over_under_not_available,RandomForest 보수 시간가중 모델,Post-game audit only. Results are not used as pre-game features.
2026-05-22,2026-05-22,20260522OBHH0,두산,한화,두산,0.553,두산 약우세,약우세,C등급,승패 약우세,핸디캡 관망,오버/언더 관망,5,0.6,False,False,한화,3,5,incorrect,55~58%,win_pick_evaluated;handicap_not_available;over_under_not_available,RandomForest 보수 시간가중 모델,Post-game audit only. Results are not used as pre-game features.
2026-05-22,2026-05-22,20260522NCKT0,NC,KT,KT,0.569,KT 약우세,약우세,C등급,승패 약우세,핸디캡 관망,오버/언더 관망,1,1.0,True,True,KT,4,7,correct,55~58%,win_pick_evaluated;handicap_not_available;over_under_not_available,RandomForest 보수 시간가중 모델,Post-game audit only. Results are not used as pre-game features.
2026-05-22,2026-05-22,20260522SKHT0,SSG,KIA,KIA,0.544,KIA 약우세,약우세,C등급,승패 약우세,핸디캡 관망,오버/언더 관망,7,0.4,False,False,KIA,2,5,correct,52~55%,win_pick_evaluated;handicap_not_available;over_under_not_available,RandomForest 보수 시간가중 모델,Post-game audit only. Results are not used as pre-game features.
2026-05-22,2026-05-22,20260522SSLT0,삼성,롯데,삼성,0.515,삼성 박빙 우세,관망,D등급,승패 관망,핸디캡 관망,오버/언더 관망,9,0.2,False,False,삼성,7,5,correct,52% 미만,win_pick_evaluated;handicap_not_available;over_under_not_available,RandomForest 보수 시간가중 모델,Post-game audit only. Results are not used as pre-game features.
2026-05-23,2026-05-23,20260523WOLG0,키움,LG,LG,0.555,LG 약우세,약우세,C등급,승패 약우세,핸디캡 관망,오버/언더 관망,3,0.8,False,True,LG,2,5,correct,55~58%,win_pick_evaluated;handicap_not_available;over_under_not_available,RandomForest 보수 시간가중 모델,Post-game audit only. Results are not used as pre-game features.
2026-05-23,2026-05-23,20260523OBHH0,두산,한화,두산,0.543,두산 약우세,약우세,C등급,승패 약우세,핸디캡 관망,오버/언더 관망,7,0.4,False,False,한화,2,5,incorrect,52~55%,win_pick_evaluated;handicap_not_available;over_under_not_available,RandomForest 보수 시간가중 모델,Post-game audit only. Results are not used as pre-game features.
2026-05-23,2026-05-23,20260523NCKT0,NC,KT,KT,0.569,KT 약우세,약우세,C등급,승패 약우세,핸디캡 관망,오버/언더 관망,1,1.0,True,True,KT,5,10,correct,55~58%,win_pick_evaluated;handicap_not_available;over_under_not_available,RandomForest 보수 시간가중 모델,Post-game audit only. Results are not used as pre-game features.
2026-05-23,2026-05-23,20260523SKHT0,SSG,KIA,KIA,0.545,KIA 약우세,약우세,C등급,승패 약우세,핸디캡 관망,오버/언더 관망,5,0.6,False,False,KIA,4,5,correct,52~55%,win_pick_evaluated;handicap_not_available;over_under_not_available,RandomForest 보수 시간가중 모델,Post-game audit only. Results are not used as pre-game features.
2026-05-23,2026-05-23,20260523SSLT0,삼성,롯데,삼성,0.515,삼성 박빙 우세,관망,D등급,승패 관망,핸디캡 관망,오버/언더 관망,9,0.2,False,False,롯데,5,7,incorrect,52% 미만,win_pick_evaluated;handicap_not_available;over_under_not_available,RandomForest 보수 시간가중 모델,Post-game audit only. Results are not used as pre-game features.
2026-05-24,2026-05-24,20260524OBHH0,두산,한화,두산,0.517,두산 박빙 우세,관망,D등급,승패 관망,핸디캡 관망,오버/언더 관망,7,0.4,False,False,한화,2,5,incorrect,52% 미만,win_pick_evaluated;handicap_not_available;over_under_not_available,RandomForest 보수 시간가중 모델,Post-game audit only. Results are not used as pre-game features.
2026-05-24,2026-05-24,20260524SKHT0,SSG,KIA,KIA,0.572,KIA 약우세,약우세,C등급,승패 약우세,핸디캡 관망,오버/언더 관망,1,1.0,True,True,KIA,2,3,correct,55~58%,win_pick_evaluated;handicap_not_available;over_under_not_available,RandomForest 보수 시간가중 모델,Post-game audit only. Results are not used as pre-game features.
2026-05-24,2026-05-24,20260524NCKT0,NC,KT,KT,0.569,KT 약우세,약우세,C등급,승패 약우세,핸디캡 관망,오버/언더 관망,3,0.8,False,True,NC,8,5,incorrect,55~58%,win_pick_evaluated;handicap_not_available;over_under_not_available,RandomForest 보수 시간가중 모델,Post-game audit only. Results are not used as pre-game features.
2026-05-24,2026-05-24,20260524WOLG0,키움,LG,LG,0.556,LG 약우세,약우세,C등급,승패 약우세,핸디캡 관망,오버/언더 관망,5,0.6,False,False,LG,4,6,correct,55~58%,win_pick_evaluated;handicap_not_available;over_under_not_available,RandomForest 보수 시간가중 모델,Post-game audit only. Results are not used as pre-game features.
2026-05-24,2026-05-24,20260524SSLT0,삼성,롯데,삼성,0.515,삼성 박빙 우세,관망,D등급,승패 관망,핸디캡 관망,오버/언더 관망,9,0.2,False,False,삼성,10,0,correct,52% 미만,win_pick_evaluated;handicap_not_available;over_under_not_available,RandomForest 보수 시간가중 모델,Post-game audit only. Results are not used as pre-game features.
2026-05-26,2026-05-26,20260526HTWO0,KIA,키움,키움,0.501,키움 박빙 우세,관망,D등급,승패 관망,핸디캡 관망,오버/언더 관망,9,0.2,False,False,KIA,5,2,incorrect,52% 미만,win_pick_evaluated;handicap_not_available;over_under_not_available,RandomForest 보수 시간가중 모델,Post-game audit only. Results are not used as pre-game features.
2026-05-26,2026-05-26,20260526LGLT0,LG,롯데,LG,0.531,LG 약우세,약우세,C등급,승패 약우세,핸디캡 관망,오버/언더 관망,1,1.0,True,True,LG,2,1,correct,52~55%,win_pick_evaluated;handicap_not_available;over_under_not_available,RandomForest 보수 시간가중 모델,Post-game audit only. Results are not used as pre-game features.
2026-05-26,2026-05-26,20260526KTOB0,KT,두산,두산,0.506,두산 박빙 우세,관망,D등급,승패 관망,핸디캡 관망,오버/언더 관망,7,0.4,False,False,KT,6,0,incorrect,52% 미만,win_pick_evaluated;handicap_not_available;over_under_not_available,RandomForest 보수 시간가중 모델,Post-game audit only. Results are not used as pre-game features.
2026-05-27,2026-05-27,20260527HTWO0,KIA,키움,KIA,0.508,KIA 박빙 우세,관망,D등급,승패 관망,핸디캡 관망,오버/언더 관망,9,0.2,False,False,KIA,9,2,correct,52% 미만,win_pick_evaluated;handicap_not_available;over_under_not_available,RandomForest 보수 시간가중 모델,Post-game audit only. Results are not used as pre-game features.
2026-05-27,2026-05-27,20260527SSSK0,삼성,SSG,삼성,0.53,삼성 약우세,약우세,C등급,승패 약우세,핸디캡 관망,오버/언더 관망,1,1.0,True,True,삼성,4,1,correct,52~55%,win_pick_evaluated;handicap_not_available;over_under_not_available,RandomForest 보수 시간가중 모델,Post-game audit only. Results are not used as pre-game features.
2026-05-27,2026-05-27,20260527LGLT0,LG,롯데,LG,0.528,LG 박빙 우세,약우세,C등급,승패 약우세,핸디캡 관망,오버/언더 관망,3,0.8,False,True,LG,8,6,correct,52~55%,win_pick_evaluated;handicap_not_available;over_under_not_available,RandomForest 보수 시간가중 모델,Post-game audit only. Results are not used as pre-game features.
2026-05-27,2026-05-27,20260527HHNC0,한화,NC,한화,0.526,한화 박빙 우세,약우세,C등급,승패 약우세,핸디캡 관망,오버/언더 관망,5,0.6,False,False,NC,4,6,incorrect,52~55%,win_pick_evaluated;handicap_not_available;over_under_not_available,RandomForest 보수 시간가중 모델,Post-game audit only. Results are not used as pre-game features.
2026-05-27,2026-05-27,20260527KTOB0,KT,두산,KT,0.514,KT 박빙 우세,관망,D등급,승패 관망,핸디캡 관망,오버/언더 관망,7,0.4,False,False,두산,0,5,incorrect,52% 미만,win_pick_evaluated;handicap_not_available;over_under_not_available,RandomForest 보수 시간가중 모델,Post-game audit only. Results are not used as pre-game features.
2026-05-28,2026-05-28,20260528HTWO0,KIA,키움,KIA,0.529,KIA 박빙 우세,약우세,C등급,승패 약우세,핸디캡 관망,오버/언더 관망,3,0.8,False,True,KIA,5,0,correct,52~55%,win_pick_evaluated;handicap_not_available;over_under_not_available,RandomForest 보수 시간가중 모델,Post-game audit only. Results are not used as pre-game features.
2026-05-28,2026-05-28,20260528SSSK0,삼성,SSG,삼성,0.53,삼성 약우세,약우세,C등급,승패 약우세,핸디캡 관망,오버/언더 관망,1,1.0,True,True,삼성,10,1,correct,52~55%,win_pick_evaluated;handicap_not_available;over_under_not_available,RandomForest 보수 시간가중 모델,Post-game audit only. Results are not used as pre-game features.
2026-05-28,2026-05-28,20260528LGLT0,LG,롯데,LG,0.529,LG 박빙 우세,약우세,C등급,승패 약우세,핸디캡 관망,오버/언더 관망,4,0.8,False,False,롯데,5,8,incorrect,52~55%,win_pick_evaluated;handicap_not_available;over_under_not_available,RandomForest 보수 시간가중 모델,Post-game audit only. Results are not used as pre-game features.
